flightNumber,plane,dep_date,dep_time,dep_airport_name,dep_airport_code,dep_terminal,dep_status,dep_weather_min,dep_weather_max,dep_weather_desc,dep_counter,dep_door,arr_date,arr_time,arr_airport_name,arr_airport_code,arr_terminal,arr_status,arr_weather_min,arr_weather_max,arr_weather_desc,arr_room,arr_belt,timestamp
RYR9686,Boeing 737-800 Winglets,2018-04-14,20:35,Madrid-Barajas Adolfo Suárez,MAD,1,El vuelo ha despegado a las 21:31,5.0,17.0,Nubes altas,357 - 360,C45,,,Roma /Ciampino,CIA,,,,,,,,2018-04-14 23:08:50
IBK5807,Boeing 737-800 Winglets,2018-04-14,20:55,Madrid-Barajas Adolfo Suárez,MAD,2,El vuelo ha despegado a las 21:09,5.0,17.0,Nubes altas,545 - 550,E75,2018-04-14,22:50,Gran Canaria,LPA,,Llegada prevista a las 22:57,17.0,21.0,Nubes altas,01,16,2018-04-14 23:08:52
SWR2049,Cs1,2018-04-14,21:05,Madrid-Barajas Adolfo Suárez,MAD,2,El vuelo ha despegado a las 21:14,5.0,17.0,Nubes altas,535 - 539,D64,,,Ginebra,GVA,,,,,,,,2018-04-14 23:09:00
WZZ3778,32A,2018-04-14,21:10,Madrid-Barajas Adolfo Suárez,MAD,1,El vuelo ha despegado a las 21:35,5.0,17.0,Nubes altas,332 - 337,A14,,,Sibiu / Sibiu Turnisor,SBZ,,,,,,,,2018-04-14 23:09:07
IBS3742,Airbus A320,2018-04-14,21:25,Madrid-Barajas Adolfo Suárez,MAD,4,El vuelo ha despegado a las 21:22,5.0,17.0,Nubes altas,810 - 819,J58,,,Paris /Charles De Gaulle,CDG,,,,,,,,2018-04-14 23:09:08
RYR7752,Boeing 737-800 Winglets,2018-04-14,21:30,Madrid-Barajas Adolfo Suárez,MAD,1,Salida prevista a las 00:00,5.0,17.0,Nubes altas,357 - 360,B20,,,Marrakech,RAK,,,,,,,,2018-04-14 23:09:09
RYR5432,Boeing 737-800 Winglets,2018-04-14,21:30,Madrid-Barajas Adolfo Suárez,MAD,1,El vuelo ha despegado a las 21:25,5.0,17.0,Nubes altas,357 - 360,C48,2018-04-14,23:00,Palma De Mallorca,PMI,N,El vuelo ha aterrizado a las 22:37,11.0,15.0,Lluvia,NT,18,2018-04-14 23:09:10
RYR2011,Boeing 737-800 Winglets,2018-04-14,21:35,Madrid-Barajas Adolfo Suárez,MAD,1,El vuelo ha despegado a las 22:00,5.0,17.0,Nubes altas,357 - 360,C42,2018-04-14,23:40,Gran Canaria,LPA,,Llegada prevista a las 23:51,17.0,21.0,Nubes altas,01,16,2018-04-14 23:09:12
RYR2015,Boeing 737-800 Winglets,2018-04-14,21:40,Madrid-Barajas Adolfo Suárez,MAD,1,El vuelo ha despegado a las 21:42,5.0,17.0,Nubes altas,357 - 360,C40,2018-04-14,23:30,Lanzarote,ACE,1,Llegada prevista a las 23:23,15.0,22.0,Nubes altas,1,5,2018-04-14 23:09:15
AEA6049,Boeing 737-800 Winglets,2018-04-14,22:00,Madrid-Barajas Adolfo Suárez,MAD,2,El vuelo ha despegado a las 21:57,5.0,17.0,Nubes altas,505 - 520,D66,2018-04-14,23:20,Palma De Mallorca,PMI,N,Llegada prevista a las 23:13,11.0,15.0,Lluvia,NT,15,2018-04-14 23:09:18
UAE144,Airbus A380,2018-04-14,22:05,Madrid-Barajas Adolfo Suárez,MAD,4,El vuelo ha despegado a las 22:02,5.0,17.0,Nubes altas,720 - 729,S21,,,Dubai,DXB,,,,,,,,2018-04-14 23:09:19
IBS3916,Airbus A320,2018-04-14,22:05,Madrid-Barajas Adolfo Suárez,MAD,4,El vuelo ha despegado a las 22:04,5.0,17.0,Nubes altas,810 - 819,K62,2018-04-14,23:25,Palma De Mallorca,PMI,N,Llegada prevista a las 23:12,11.0,15.0,Lluvia,NT,11,2018-04-14 23:09:21
TAP1021,Airbus A319,2018-04-14,22:05,Madrid-Barajas Adolfo Suárez,MAD,2,El vuelo ha despegado a las 22:11,5.0,17.0,Nubes altas,406 - 408,D56,,,Lisboa,LIS,,,,,,,,2018-04-14 23:09:22
EZY8696,Airbus A320,2018-04-14,20:45,Gran Canaria,LPA,,El vuelo ha despegado a las 21:12,17.0,21.0,Nubes altas,305 - 306,C14,,,Londres /Gatwick,LGW,,,,,,,,2018-04-14 23:09:00
EIN783,Airbus A320,2018-04-14,20:45,Gran Canaria,LPA,,El vuelo ha despegado a las 20:39,17.0,21.0,Nubes altas,206 - 207,C02,,,Dublin,DUB,,,,,,,,2018-04-14 23:09:02
EXS670,Boeing 737-300 Winglets,2018-04-14,21:00,Gran Canaria,LPA,,El vuelo ha despegado a las 20:50,17.0,21.0,Nubes altas,217 - 222,C05,,,East Midlands,EMA,,,,,,,,2018-04-14 23:09:06
EXS1260,Boeing 737-800 Winglets,2018-04-14,21:00,Gran Canaria,LPA,,El vuelo ha despegado a las 20:53,17.0,21.0,Nubes altas,213 - 222,C08,,,Birmingham / Internacional,BHX,,,,,,,,2018-04-14 23:09:07
TFL644,Boeing 767-300 Winglets,2018-04-14,21:10,Gran Canaria,LPA,,El vuelo ha despegado a las 21:20,17.0,21.0,Nubes altas,312 - 315,C34,,,Amsterdam /Schiphol,AMS,,,,,,,,2018-04-14 23:09:08
JAF6182,Boeing 737-800 Winglets,2018-04-14,21:15,Gran Canaria,LPA,,El vuelo ha despegado a las 21:39,17.0,21.0,Nubes altas,316 - 318,C24,,,Bruselas,BRU,,,,,,,,2018-04-14 23:09:09
OLY605,Airbus A319,2018-04-14,21:30,Gran Canaria,LPA,,El vuelo ha despegado a las 21:36,17.0,21.0,Nubes altas,203 - 205,C20,,,Hannover,HAJ,,,,,,,,2018-04-14 23:09:10
KRP2861,Fokker 100,2018-04-14,21:30,Gran Canaria,LPA,,El vuelo ha despegado a las 21:57,17.0,21.0,Nubes altas,311 -,C03,,,Vitoria,VIT,,,,,,,,2018-04-14 23:09:12
EXS144,Boeing 737-800 Winglets,2018-04-14,21:35,Gran Canaria,LPA,,El vuelo ha despegado a las 21:29,17.0,21.0,Nubes altas,217 - 222,C11,,,Glasgow,GLA,,,,,,,,2018-04-14 23:09:13
AEA9423,Boeing 737-800 Winglets,2018-04-14,21:40,Gran Canaria,LPA,,El vuelo ha despegado a las 21:42,17.0,21.0,Nubes altas,111 - 112,A13,2018-04-14,22:15,Tenerife Norte,TFN,1,Llegada prevista a las 22:10,17.0,22.0,Despejado,1,1,2018-04-14 23:09:14
VOE2739,Airbus A319,2018-04-14,22:20,Gran Canaria,LPA,,Salida prevista a las 22:20,17.0,21.0,Nubes altas,206 - 207,C26,,,Nantes-Atlantique,NTE,,,,,,,,2018-04-14 23:09:16
EZS1138,Airbus A320,2018-04-15,00:50,Gran Canaria,LPA,,Salida prevista a las 00:50,17.0,21.0,Nubes altas,311 - 312,C23,,,Basel /Mulhouse,BSL,,,,,,,,2018-04-14 23:09:17
IBK5950,Boeing 737-800 Winglets,2018-04-15,06:00,Gran Canaria,LPA,,Salida prevista a las 06:00,17.0,21.0,Nubes altas,343 - 346,C26,,,Hamburgo,HAM,,,,,,,,2018-04-14 23:09:18
IBS3835,Airbus A321,2018-04-15,06:40,Gran Canaria,LPA,,Salida prevista a las 06:40,17.0,21.0,Nubes altas,205 - 207,C03,2018-04-15,10:20,Madrid-Barajas Adolfo Suárez,MAD,,Llegada prevista a las 10:20,5.0,17.0,Nubes altas,,,2018-04-14 23:09:19
RYR3804,Boeing 737-800 Winglets,2018-04-15,06:40,Gran Canaria,LPA,,Salida prevista a las 06:40,17.0,21.0,Nubes altas,402 - 404,C05,,,Manchester,MAN,,,,,,,,2018-04-14 23:09:21
RYR2967,Boeing 737-800 Winglets,2018-04-15,06:45,Gran Canaria,LPA,,Salida prevista a las 06:45,17.0,21.0,Nubes altas,402 - 404,C24,,,Budapest,BUD,,,,,,,,2018-04-14 23:09:23
SAS4658,Boeing 737-800,2018-04-14,21:15,Alicante-Elche,ALC,N,El vuelo ha despegado a las 21:20,10.0,22.0,Nubes altas,90 - 93,C43,,,Stavanger,SVG,,,,,,,,2018-04-14 23:08:56
EXS882,Boeing 737-800 Winglets,2018-04-14,21:30,Alicante-Elche,ALC,N,El vuelo ha despegado a las 21:21,10.0,22.0,Nubes altas,130 - 133,B29,,,Manchester,MAN,,,,,,,,2018-04-14 23:08:57
EZY6990,Airbus A319,2018-04-14,21:35,Alicante-Elche,ALC,N,El vuelo ha despegado a las 21:47,10.0,22.0,Nubes altas,150 - 155,B27,,,Edimburgo,EDI,,,,,,,,2018-04-14 23:08:59
EXS274,Boeing 737-800 Winglets,2018-04-14,21:55,Alicante-Elche,ALC,N,El vuelo ha despegado a las 21:48,10.0,22.0,Nubes altas,130 - 133,C37,,,Leeds/Bradford,LBA,,,,,,,,2018-04-14 23:09:01
SAS4730,Boeing 737-800,2018-04-14,21:55,Alicante-Elche,ALC,N,El vuelo ha despegado a las 21:47,10.0,22.0,Nubes altas,94 - 95,C45,,,Bergen/Flesland,BGO,,,,,,,,2018-04-14 23:09:03
RYR9184,Boeing 737-800 Winglets,2018-04-14,22:00,Alicante-Elche,ALC,N,El vuelo ha despegado a las 21:50,10.0,22.0,Nubes altas,50 - 54,B33,,,East Midlands,EMA,,,,,,,,2018-04-14 23:09:05
RYR8297,Boeing 737-800 Winglets,2018-04-14,22:10,Alicante-Elche,ALC,N,El vuelo ha despegado a las 22:18,10.0,22.0,Nubes altas,50 - 54,B31,,,Bristol,BRS,,,,,,,,2018-04-14 23:09:06
